,storename,address,loncationdetail,lon,lat,city,province,district,township,geometry
707,乌鲁木齐经开万达,乌鲁木齐市经济技术开发区武湖路999号万达广场内1B55号商铺汉堡王,"87.517568,43.840549",87.517568,43.840549,乌鲁木齐市,新疆维吾尔自治区,新市区,乌鲁木齐经济技术开发区街道,POINT (87.517568 43.840549)
708,哈尔滨西城红场,黑龙江哈尔滨哈西大街299号红博西城红场生活港负一层B1024,"126.592050,45.703974",126.59205,45.703974,哈尔滨市,黑龙江省,南岗区,哈西街道,POINT (126.59205 45.703974)
709,杭州尊宝大厦,杭州市江干区城星路 89 号尊宝大厦裙楼地下一层城星美食天地 C-008号,"120.207821,30.238256",120.207821,30.238256,杭州市,浙江省,江干区,四季青街道,POINT (120.207821 30.238256)
710,上海118广场,上海市普陀区金沙江路1685号四区地下一层B1-101,"121.378090,31.231862",121.37809,31.231862,上海市,上海市,普陀区,长征镇,POINT (121.37809 31.231862)
711,上海名人广场店,上海市黄浦区南京东路300号名人广场B1层B103-104,"121.483939,31.238119",121.483939,31.238119,上海市,上海市,黄浦区,外滩街道,POINT (121.483939 31.238119)
712,南京景枫大厦（天元东路）,南京市江宁区天元东路288号景枫科技大厦一楼F105号和F106号,"118.867332,31.937732",118.867332,31.937732,南京市,江苏省,江宁区,淳化街道,POINT (118.867332 31.937732)
713,大连万和汇,辽宁省大连市金州开发区金马路208号万和汇购物广场一层汉堡王餐厅,"121.780677,39.048231",121.780677,39.048231,大连市,辽宁省,金州区,马桥子街道,POINT (121.780677 39.048231)
714,上海七宝宝龙,上海市闵行区漕宝路3299号七宝宝龙城市广场S4b-1F-003号商铺,"121.354274,31.158700",121.354274,31.1587,上海市,上海市,闵行区,七宝镇,POINT (121.354274 31.1587)
715,天津西站,天津市红桥区西站高架夹层西进站口,"117.171953,39.155336",117.171953,39.155336,天津市,天津市,红桥区,三条石街道,POINT (117.171953 39.155336)
716,临汾时光颂餐厅,临汾市尧都区中大街与向阳西路交叉口时光颂,"111.506178,36.096890",111.506178,36.09689,临汾市,山西省,尧都区,滨河街道,POINT (111.506178 36.09689)
717,苏州尹山湖阳光天地,苏州市吴中区郭巷环湖路1688号尹山湖阳光天地购物中心2-113、2-114、2-206号,"120.692862,31.245343",120.692862,31.245343,苏州市,江苏省,吴中区,郭巷街道,POINT (120.692862 31.245343)
718,重庆合川合阳街道餐厅,重庆市合川区合阳城街道合化路口片区中部分建筑的一层、二层,"106.257739,30.001120",106.257739,30.00112,重庆市,重庆市,合川区,合阳城街道,POINT (106.257739 30.00112)
719,北京花乡奥莱,北京市丰台区南四环西路76号花乡奥莱13号楼13101-R,"116.323788,39.825965",116.323788,39.825965,北京市,北京市,丰台区,花乡乡,POINT (116.323788 39.825965)
720,上海漕河泾,上海市徐汇区虹梅路1535号星联科研大厦5号楼,"121.400345,31.164274",121.400345,31.164274,上海市,上海市,徐汇区,漕河泾新兴技术开发区,POINT (121.400345 31.164274)
721,上海国家会展中心,上海市青浦区盈港东路158号国家会展中心（上海）商业广场R-L201-18号,"121.304391,31.186396",121.304391,31.186396,上海市,上海市,青浦区,徐泾镇,POINT (121.304391 31.186396)
722,武汉广宏汇,湖北省武汉市洪山区南湖大道55号广宏汇商业街一层C1-2-(15-18)商铺,"114.331707,30.480954",114.331707,30.480954,武汉市,湖北省,洪山区,狮子山街道,POINT (114.331707 30.480954)
723,宜昌水悦城,宜昌市高新区发展大道13 号宜昌水悦城二楼232 铺位。,"111.316257,30.706245",111.316257,30.706245,宜昌市,湖北省,西陵区,北苑街道,POINT (111.316257 30.706245)
724,广州保利克洛维广场,广州市天河区华穗路406号之一第1层05、06房自编号103、104,"113.319788,23.127079",113.319788,23.127079,广州市,广东省,天河区,冼村街道,POINT (113.319788 23.127079)
725,厦门金山路餐厅,厦门市思明区金山路1号厦门宝龙一城2-1号楼M-B1-007号商铺,"118.172259,24.485998",118.172259,24.485998,厦门市,福建省,思明区,莲前街道,POINT (118.172259 24.485998)
726,杭州复地壹号,杭州市拱墅区莫干山路与花园岗街交叉口复地活力广场星尚发展大厦1幢117室、118室、119室、120室、121室,"120.111472,30.317479",120.111472,30.317479,杭州市,浙江省,拱墅区,祥符街道,POINT (120.111472 30.317479)
727,北京四元广场,北京市朝阳区北四环东路9号地下一层,"116.459025,39.979063",116.459025,39.979063,北京市,北京市,朝阳区,望京街道,POINT (116.459025 39.979063)
728,安阳万达汉堡王,安阳市中华路与文明路交叉口向南500米万达广场1001号,"114.392377,36.086247",114.392377,36.086247,安阳市,河南省,文峰区,中华路街道,POINT (114.392377 36.086247)
729,珠海香洲区港湾壹号,珠海市香洲区金唐路9号港湾一号12号楼12--105，12--106，12--107号商铺,"113.599469,22.364922",113.599469,22.364922,珠海市,广东省,香洲区,唐家湾镇,POINT (113.599469 22.364922)
730,上海芳甸路,上海市浦东新区芳甸路1356号,"121.562925,31.207248",121.562925,31.207248,上海市,上海市,浦东新区,花木街道,POINT (121.562925 31.207248)
731,扬州润茂广场,江苏省扬州市博物馆路295、297 号名扬广场一层102 号加二层201号。,"119.379917,32.343430",119.379917,32.34343,扬州市,江苏省,邗江区,汊河街道,POINT (119.379917 32.34343)
732,上海仙霞路店,上海市长宁区仙霞路158号3#商铺,"121.402530,31.205844",121.40253,31.205844,上海市,上海市,长宁区,虹桥街道,POINT (121.40253 31.205844)
733,渭南吾悅广场,陕西省渭南市临渭区仓程路吾悅广场1层汉堡王,"109.406433,34.517609",109.406433,34.517609,渭南市,陕西省,临渭区,双王街道,POINT (109.406433 34.517609)
734,宁波利时店,宁波利时店鄞州区四明中路688号利时城市奥特莱斯购物中心1楼05B号商铺,"121.553521,29.827773",121.553521,29.827773,宁波市,浙江省,鄞州区,中河街道,POINT (121.553521 29.827773)
735,北辰美凯龙,天津市北辰区京津公路312号北辰红星美凯龙一层10175-AF01-78-34233,"117.139649,39.214865",117.139649,39.214865,天津市,天津市,北辰区,果园新村街道,POINT (117.139649 39.214865)
736,深圳卓越世纪中心店,深圳市福田区金田路2030号（卓越世纪中心）,"114.064596,22.532045",114.064596,22.532045,深圳市,广东省,福田区,福田街道,POINT (114.064596 22.532045)
